station,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12
USC00047306,32.5,36.4,23.4,0.5,6.1,0.0,5.1,2.8,0.0,15.0,33.9,7.9
US1CARV0004,15.6,9.9,3.3,0.0,0.0,0.0,2.6,3.8,7.6,5.1,6.9,0.3
US1CACC0012,17.6,9.1,9.7,15.7,0.8,0.5,0.0,0.0,12.2,0.0,33.5,0.0
USC00045915,19.4,12.4,15.9,22.1,1.8,7.2,0.0,0.0,28.2,0.0,39.6,18.3
USC00040738,33.8,22.8,61.3,38.6,22.3,14.7,0.0,23.1,51.2,0.3,29.2,21.1
USC00042574,48.5,12.2,128.6,36.4,27.2,65.3,0.8,0.6,109.5,1.8,34.8,8.1
USC00041316,17.5,8.6,41.2,11.2,54.8,4.5,38.9,8.9,37.6,6.4,12.1,9.7
US1CASH0037,16.8,12.9,69.1,46.3,16.3,47.8,0.0,0.0,32.3,0.0,40.1,6.9
US1CASH0037,16.8,12.9,69.1,46.3,16.3,47.8,0.0,0.0,32.3,0.0,40.1,6.9
USC00042964,48.2,10.5,22.1,17.8,26.5,17.6,44.5,21.6,16.2,9.4,16.8,3.8
USW00024259,18.2,8.4,19.8,18.8,27.0,4.5,0.8,12.7,18.9,2.0,12.0,2.4
USW00024259,18.2,8.4,19.8,18.8,27.0,4.5,0.8,12.7,18.9,2.0,12.0,2.4
USW00024259,18.2,8.4,19.8,18.8,27.0,4.5,0.8,12.7,18.9,2.0,12.0,2.4
US1CASK0004,0.0,6.4,24.7,4.3,27.7,0.0,0.0,0.0,70.4,0.0,21.4,8.4
US1CASK0002,20.3,5.3,18.1,29.5,31.4,4.4,5.1,26.2,32.1,1.1,2.6,6.6
USW00024259,18.2,8.4,19.8,18.8,27.0,4.5,0.8,12.7,18.9,2.0,12.0,2.4
USC00041990,63.4,8.6,14.0,9.0,32.8,15.0,0.0,16.6,62.0,6.6,14.4,4.8
US1CASK0005,24.3,13.3,22.0,31.2,37.6,2.1,4.1,12.4,23.4,2.1,16.8,12.7
US1CASK0007,18.0,11.2,14.3,22.0,29.9,4.6,0.3,17.3,19.3,1.8,9.1,0.0
US1CASL0014,46.3,11.4,26.1,0.0,4.9,0.0,0.8,0.0,2.8,9.4,4.1,16.3
US1CASL0014,46.3,11.4,26.1,0.0,4.9,0.0,0.8,0.0,2.8,9.4,4.1,16.3
USC00045866,35.3,18.0,17.0,0.0,3.8,0.0,0.0,0.0,0.0,16.6,7.1,2.5
US1CASL0010,36.8,10.4,31.2,1.3,58.4,0.0,0.0,0.0,0.0,11.4,5.0,20.6
USW00093209,17.7,6.6,11.2,0.3,1.3,0.0,0.0,0.0,0.0,0.5,7.0,4.3
USC00046252,29.2,24.2,39.1,16.5,9.7,0.0,0.0,0.0,9.7,32.3,24.4,25.9
US1CAMP0001,44.7,0.0,44.8,4.1,25.1,8.1,0.0,0.0,1.8,11.9,0.0,10.2
US1CAMA0001,31.5,29.7,84.0,27.1,24.3,2.1,1.0,0.0,24.4,55.6,27.2,44.0
USC00040343,46.0,35.0,25.0,13.6,9.4,0.0,6.1,0.0,0.0,0.0,13.4,15.0
USC00043710,9.6,0.0,2.6,0.3,1.3,0.0,33.5,0.3,0.5,1.0,4.6,5.8
US1CAKN0013,11.8,0.3,8.9,2.1,3.3,0.0,22.7,2.5,0.0,3.3,5.3,12.0
USC00043710,9.6,0.0,2.6,0.3,1.3,0.0,33.5,0.3,0.5,1.0,4.6,5.8
USC00040444,23.8,16.6,20.6,4.0,4.9,0.0,0.0,0.0,0.0,0.8,4.1,1.3
USC00043463,44.8,38.9,9.9,15.2,5.6,0.0,0.3,18.0,3.8,15.8,29.5,28.4
USC00043463,44.8,38.9,9.9,15.2,5.6,0.0,0.3,18.0,3.8,15.8,29.5,28.4
US1CASK0009,50.8,27.1,91.7,55.8,47.6,13.0,0.0,9.4,137.0,0.5,30.4,27.4
US1CAHM0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,26.9
USC00046508,55.1,26.1,79.3,64.0,48.4,16.7,0.0,7.1,126.8,1.0,41.4,26.4
USC00046508,55.1,26.1,79.3,64.0,48.4,16.7,0.0,7.1,126.8,1.0,41.4,26.4
