Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2022,LOST HILLS,2022-07-05,2022-07-05,0.0,Equipment Use,2.507146,15405.9921875,617.289128087487
2022,THUNDER,2022-06-22,2022-07-03,11.0,Lightning,2465.185,14874572.515625,30232.7100574229
2022,RANCH,2022-09-04,2022-09-05,1.0,Unknown / Unidentified,62.03226,374423.98828125,3613.00540721773
2022,JACK,2022-06-23,2022-06-25,2.0,Lightning,21.38803,131757.51171875,1703.88289293644
2022,BROOME,2022-05-31,2022-05-31,0.0,Vehicle,1.092994,6639.5,550.710294926292
2022,SCRAPER,2022-09-15,2022-09-15,0.0,Unknown / Unidentified,6.637007,40419.0078125,1034.74969792877
2022,GENERAL,2022-06-25,2022-06-26,1.0,Unknown / Unidentified,1.991478,12130.515625,680.233886111279
2022,CUMMINGS,2022-09-21,2022-09-21,0.0,Unknown / Unidentified,1.312247,7978.98828125,527.335828605154
2022,EDISON,2022-09-25,2022-09-25,0.0,Unknown / Unidentified,13.66138,83204.01953125,1234.88533008292
2022,TULE,2022-07-06,2022-07-06,0.0,Unknown / Unidentified,21.6859,133192.98828125,1691.65436406223
2022,BEAR,2022-06-01,2022-06-02,1.0,Vehicle,15.95058,97034.984375,1353.27797184079
2022,CENTER,2022-04-26,2022-04-26,0.0,Unknown / Unidentified,13.84711,84470.515625,1260.79953836105
2022,OAKS,2022-06-29,2022-06-29,0.0,Unknown / Unidentified,5.585199,33977.97265625,1084.90829538709
2022,COMANCHE,2022-04-27,2022-04-27,0.0,Unknown / Unidentified,50.66179,307306.0078125,3433.74788748391
2022,BEALE,2022-06-30,2022-07-01,1.0,Unknown / Unidentified,7.937709,48292.5078125,1779.42071613745
2022,RANGE,2022-06-03,2022-06-03,0.0,Unknown / Unidentified,93.07888,565339.0234375,2945.45483883319
2022,VINE,2022-07-15,2022-07-15,0.0,Unknown / Unidentified,1.986299,11984.00390625,676.48656200413
2022,RAIL,2022-08-14,2022-08-17,3.0,Unknown / Unidentified,216.2137,1316079.08984375,7150.05376976143
2022,UPLAND,2022-06-06,2022-06-06,0.0,Unknown / Unidentified,1.288484,7875.01171875,429.114090652718
2022,BEAR,2022-04-17,2022-04-18,1.0,Vehicle,2.163002,13145.9921875,527.461802115149
2022,KING,2022-08-17,2022-08-17,0.0,Unknown / Unidentified,1.569355,9534,488.24829101047
2022,ROW,2022-07-05,2022-07-05,0.0,Unknown / Unidentified,7.051614,42568.5,920.421076978625
2022,FORT,2022-07-16,2022-07-16,0.0,Vehicle,1.504349,9074.01171875,913.846750252224
2022,SYCAMORE,2022-07-22,2022-07-22,0.0,Unknown / Unidentified,25.54512,155157.94140625,2166.46526245852
2022,ROBERTS,2022-04-12,2022-04-12,0.0,Unknown / Unidentified,1.882066,11492.51171875,481.546773858418
2022,PASS,2022-07-28,2022-07-28,0.0,Unknown / Unidentified,5.047825,31070.5078125,880.856032255424
2022,SAND,2022-06-08,2022-06-09,1.0,Unknown / Unidentified,2.995723,18155.00390625,992.606988903806
2022,FREEWAY,2022-05-19,2022-05-19,0.0,Unknown / Unidentified,3.372502,20482.48046875,1018.59635594464
2022,CURVE,2022-08-03,2022-08-03,0.0,Unknown / Unidentified,7.132461,42955.50390625,1085.23739541248
2022,KERTO,2022-06-10,2022-06-11,1.0,Unknown / Unidentified,31.69387,191845.5,2258.58936698373
2022,EDMONSTON,2022-05-19,2022-05-24,5.0,Unknown / Unidentified,682.0379,4115353.5546875,17318.5944377661
2022,AIRLINE,2022-09-01,2022-09-01,0.0,Vehicle,13.90262,87705.4453125,1637.02802517771
2022,BIANCHI,2022-06-10,2022-06-10,0.0,Equipment Use,38.15456,238912.140625,2354.74834775245
2022,GARRISON,2022-07-03,2022-07-05,2.0,Powerline,147.4871,909506.6796875,7024.20512376242
2022,ALTA,2022-08-25,2022-08-25,0.0,Unknown / Unidentified,11.93287,75294.484375,1350.63132893546
2022,REDWOOD,2022-06-27,2022-06-27,0.0,Vehicle,106.1611,696131.4765625,6834.61900999471
2022,SANDIA,2022-09-04,2022-09-05,1.0,Vehicle,29.23103,170310.28125,2267.3264102055
2022,HAUSER,2022-09-17,2022-09-18,1.0,Unknown / Unidentified,25.70823,147205.88671875,2607.34385463255
2022,BORDER 10,2022-05-15,2022-05-15,0.0,Campfire,4.806643,27462.24609375,1474.03798118897
2022,FELIPE,2022-04-23,2022-04-23,0.0,Debris,1.16234,6734.51171875,475.37891346362
2022,BORDER 13,2022-06-13,2022-06-17,4.0,Arson,568.2128,3247700.3984375,12881.0763077378
2022,BARRETT 4,2022-06-12,2022-06-16,4.0,Arson,49.2244,281441.6640625,4428.45636029805
2022,BORDER 16,2022-06-21,2022-06-22,1.0,Arson,25.22921,144154.828125,3275.60341860309
2022,BORDER 15,2022-06-20,2022-06-21,1.0,Unknown / Unidentified,28.94558,165392.68359375,2603.14748480311
2022,BORDER 18,2022-06-24,2022-06-24,0.0,Unknown / Unidentified,2.849159,16279.89453125,506.472002061796
2022,MESA 4,2022-05-07,2022-05-07,0.0,Miscellaneous,4.030843,23044.79296875,646.898699348235
2022,BORDER 19,2022-06-24,2022-06-26,2.0,Arson,16.96958,97005.765625,1737.71424769336
2022,JEWEL,2022-05-14,2022-05-15,1.0,Equipment Use,29.14392,166683.296875,1567.18914524435
2022,BORDER 22,2022-07-08,2022-07-08,0.0,Arson,7.280743,41599.21875,910.063508134072
